product_name,product_price,product_rating,product_review,product_detailed_review,Sentiment
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,fabulous!,very nice,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,mind-blowing purchase,good product battery backup is good and sound quality is very very nice,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,must buy!,super sounds,positive
OnePlus Bullets Wireless Earphones,1999,5,fabulous!,sound vocals are crysp clear until 95 volume55 bass is also good455 battery backup is great55 quality of headphones is great55 overall its a great product for my povi literally loved it its not for pro gamers its only for oneplus music lovers,positive
OnePlus Bullets Wireless Earphones,1999,5,mind-blowing purchase,nice headphone value for money product bass is very good vocal clear build kawlity is very good highly recommend,positive
OnePlus Bullets Wireless Earphones,1999,5,great product,totallyworth the amount i am fully satisfied with the product its worth evry penny but i would have been more satisfied if there was a cover for the charging port as wellas dust can easily go inside the port otherwise great product by oneplus ordered and got it delivered before 24 hours i would submit another review after 1 month todays 4722,positive
OnePlus Bullets Wireless Earphones,1999,4,nice product,sound quality is excellent bass is awesome balanced bass and treblebuild quality is good but one plus z bass edition has better build quality in comparison of thisbattery backup is awesome as per commitment it is actual approximately 28 hourswire texture looks premium quality very comfortableoverall value for money neckband wireless earphone in this price segment dont go with bad reviews its really awesome,positive
OnePlus Bullets Wireless Earphones,1999,5,simply awesome,excellent product superb bass worth for money full clear and crisp sound battery is very powerful,positive
OnePlus Bullets Wireless Earphones,1999,5,must buy!,super bass an sound quality super 5 ster oneplus super battery backup super powered bass boos an sound,positive
OnePlus Bullets Wireless Earphones,1999,5,simply awesome,writing this review after using this product for two weeks so u can find ur neck band prose a loude and clear music amazing bass quality 124mm driv just blows up mind clear instrument sounds good batry back up nice build quality and hand free usage design of buds is good fits in ear clear voice calls cons heavy bass sometimes suppress vocals absence of quick switch option blutooth v5oover all like me other bass or loud music lovers dont think jus,positive
OnePlus Bullets Wireless Earphones,1999,5,simply awesome,superb product actually i wont prefer wireless headphones but i loved this one base i nice not too much high and vocals are superb just go for it,positive
OnePlus Bullets Wireless Earphones,1999,5,mind-blowing purchase,this is worth every penny you spend i doesnt disappoint in any way delivery was 2 days and charged it before using and i have been using it for 10 hours straight and its still 90 charge i dont know currently how much time it would last though i wont count till then because i trust the brand and so far battery looks awesomethe sound quality is different from the boat rockerz i was using as it consists more mettalic type of bass and it feels amazing its easy to use by just seperatin,positive
OnePlus Bullets Wireless Earphones,1999,3,does the job,as a matter of giving review about this product i m using dis from three week so giving 3 out of 5 because one plus didnt improve the sound quality at all they r giving same sound quality as the previous version except the bass bass is little bit high and most of all the battery life is good from the last version base edition but not as good as they are claiming 30 hours it is hardly giving 1516hours battery backup thats why i am giving the 3 stars for same sound quality a,positive
OnePlus Bullets Wireless Earphones,1999,5,best in the market!,am never feel the experience of wireless earphones before it so its my first bought to go for oneplus brand even its from china well i love the sound quality still have to check the battery backup but its works awesome very light weight price is need to little low but its fine to go for it and i loved it,positive
OnePlus Bullets Wireless Earphones,1999,4,good quality product,actually nothing changed too much in sound there is change only in size of ear buds and button i have both oneplus z bass edition and this new one but i found almost same even fitting of earbud is good of previous one if you have z bass edition then i will not recommend you to upgrade but if you want more battery backup then you can go for it,positive
OnePlus Bullets Wireless Earphones,1999,5,classy product,wireless bullets are first impressions are impressive this price never come this price with this quality and sound was awesome1 sound was amazing i am sony wire headset since 5 years i will see lot of head set i dont like 2 build quality was good3 actually iam bass lover iam waiting for best bass in wireless bullets with best quality this is right one for bass lovers4 price is worth bull5 you can choose this one,positive
OnePlus Bullets Wireless Earphones,1999,1,worthless,dont buy this product during the call other ends voice is very low and on the top of flipkart will never support in rufunds this is geniune feedback after using the working product after few days for music listening this headphone has great voice output,negative
OnePlus Bullets Wireless Earphones,1999,5,fabulous!,i will say in one word it is fantastic awesome fabulous marvellous it is one of the good best bluethoot neckband because of the sound the bass the mic the battery the call quality the way of design is very very very good for the year of 2022 the oneplus bluethoot is more far better than other bluethoot neckband so it called by the people one is all i e oneplus bluethoot wireless z2 overall it is very good product so i am really happy fully satisfied with this product so guys it,positive
OnePlus Bullets Wireless Earphones,1999,3,fair,in summary good built comfortable and decent battry backup with bass heavy soundso you will not get a balanced sound bass is present in every bit of voice and volume level and i dont like the muffled bass voices while listning songs or watching movies unless its an pop song but if you are looking for decent built and very good comfort for all day use then you can buy them definitely,positive
OnePlus Bullets Wireless Earphones,1999,5,brilliant,battery backup excellent charging speed excellent sound quality excellent build quality very goodaudio of video latency fair fair good very good excellent,positive
OnePlus Bullets Wireless Earphones,1999,2,moderate,1 in terms of build quality poor oneplus bullets wireless z was 10 times better then this price was same of this but that was more comfortable around your neck the quality of rubbing so good but in this one you will find no difference between oneplus and any other brands neck band2 connectivity i bought it recently 2 days back and im already facing connectivity issue after detaching these ear burds it should be auto connect to your phone but sometimes its not working also it,negative
OnePlus Bullets Wireless Earphones,1999,5,fabulous!,sound quality is good but on full volume trouble feels on high side mid volume bass and trouble sounds up to the mark you cant differentiate sound with wired earphone or oneplus bullets z2 on 7080 volume if you love bass music like then go for it battery backup is excellent charge for 10 minutes and it last for 16 to 18 hours easily in bulid quality it feels premium and light weight for sure cons 1 if you have old device or without dolby atmos then the sound quality feels lik,positive
OnePlus Bullets Wireless Earphones,1999,5,wonderful,featuresgood sound quality not so high bass but crystal clear sounds55decent designaffordable priceseamless connectivitymagnetic power onoff it takes less than 1 second to connect with paired device after separating both magnetic earbudsdual pairing 1 mobile1 pc at same timelatest usb type c chargingaac high quality audio supportedfast charging supported 20 minutes charge 20 hrs playback timetheres no special game mode but its latency is less than other headphone,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,3,just okay,amazing sound amazing design and amazingly made in india bass is not at all what it should be else its all good,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,3,good,at the mid volume volume is not so much high bass is super but the sound is not so you should try another one battery back is good not seeming truly 5w speaker you have to stay it on minimum 70 for better sound it has aslo no fm microsd card slot boat stone speakers are more sound than this one,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,worth every penny,i got it in green color it looks awesome pictures dont do justice to how good it looks the sound is great at this price pointthe connectivity is sometimes an issue but it connects properly 8 out of 10 times the other 2 times you might have to disconnect and connect again it will then work like a charmhappy to get a good product that is made in indiakeep up the good work mivi,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,4,nice product,4 star is for bass and a thumping quality sound kind of a woofer sound that you can only get in boat stone 190f and that the only thing which lead me to boat rather than mivi despite of mivis killer battery backup build quality and a cool designif you are a bass lover like me put a stone on your heart go for boat stone 190f yes boat has lesser battery backup and not a good looking design but trust me boat has thumping bass that the only thing mivi lack ofyes you will get decent bass r,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,great product,i am giving this review after two weeks of continues use1 battery backup minimum 1819hrs2 built quality 553 sound quality 554 bass 55 this is the best option in this price range thank you very much flipkart for super fast deliveryi am totally happy,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,fabulous!,firstly thanks to flipkart delivering the red speaker within one day already had the blue one before now what to say got the red one 899 during salebeing an indian and an underrated brand mivi has done well their box is stylish the speaker has quality sound though over 90 the sound can sometimes break the bass is awesome the product looks is classy and the speaker is very easy to carrynow buying two speakers and connecting them simultaneously tws mode to activate pr,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,fabulous!,after going through so may reviews i decided to go for mivi roam 2 using vouchers i got it for 92179 supercoins in non sale days if you can wait for sale the price may drop somewhere around 899 coming to review part i would share my experience as this is my first bluetooth speakerpros1 sound quality is awesome best you can get under 9992 bass is fabulous the thumping bass could be felt considering the price range the bass is just awesome3 battery backup is also excellent,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,simply awesome,i got it today at first sight i liked it very much quality of the mic is good for calls my friends have mi photron speakers and i can confirm that it is better in both build and sound quality than those speakers batteryyet to test is something that makes it ahead of competition,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,classy product,this is the best budget bluetooth and it is also easy to carry anywhere i would say this is the best product which is very useful in trips and travelling,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,1,worst experience ever!,everything works fine till last day and i felt good made in india product as well as awesome product i buyed i thoughtbut its a misery battery last only 10 hrs i played 80 percent volumesad part is when its drain to 20 twice the time it notifies battery low i thought i can charge when it reach too 5 but its trun off automatically with sad saying lines by mivii dont know why turning off in 20because they cheat try buying brand its useless dont know how mu,negative
Mivi Roam2 5 W Bluetooth Speaker,1099,5,terrific purchase,this is my 2nd mivi roam speaker it has good quality sound with awasome battery backup as well as superb design and build quality,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,4,pretty good,great bass and with amazing soundi got this at only 699 at this price mivi roam 2 is simply awesome pros1 great sound quality2 good base3 good design and body material used is of good quality4 water resistant5 very handycons1 sound gets distorted at max volume recommend it to use at 80 volume2 bluetooth connectivity could have been better connectivity breaks if between two rooms,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,"terrific purchase, indian product, waoo that's great.",i swear it is the best speaker in the market in this surprising price mivi is doing great the made in india is paving a way forwards for a greater challenge in the market i have previously bought a portrnic speaker in the very high range of 1900 and i can surely say with confidence this speaker is best than that of 1900 go for it,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,perfect product!,the sound quality is pretty nice bass couldve been a bit better and sound couldve been louder but for the form its really good and the battery lasts for a very long duration even with regular use for 4 hours every day at around 80 volume i am able to make it up to 56 days without having to hook up the charger id recommend getting this for its battery backup alone the power button takes a while to turn it off and the buttons are quite stiff but apart from these minor inconven,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,fabulous!,awesome product by mivi sound quality is awesome bass is balanced vocals are clear if you are watching movies in phone laptops etc after connecting this speaker overall great,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,terrific,order placed on 24th and got it today 27th firstly thanks for the fast delivery had 70 charge when received and used for around 6 hours continuouslymid to high volume and still there is no decrease in the charge so i am happy with the battery back up will update later also the speaker is very convenient to carrie because of its weight and size i loved the sound quality and base it is value for money for 899 easy to connect and all the buttons are working properly since ther,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,must buy!,hey mivi i just want to review this product really quickand i have to say the product is so damn amazing including the product i liked those cards and message you wrote for us it was really unique that a brand is connecting with their customers in a very user friendly way coming to the product which is extremely important everything is amazing but only con is power button is somehow hard to press and takes long to power off else everything is fine the sound,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,terrific purchase,its really a very good sounding speaker and decent not heavy bass most strong point of this speaker is excellent battery backup it beats every bluetooth speaker under its price segment nothing come close to it in battery backupworks excellent with every computerlaptop and smartphones having bluetoothhighly recommended very good built bluetooth speaker with good base,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,5,brilliant,after using one monthmy review about this productgood sound clarity bass reflex also perfect battery backup is amazing i love this mivi roam 2i just this to everyone who needs a portable bluetooth speaker,positive
Mivi Roam2 5 W Bluetooth Speaker,1099,4,does the work,pretty okay since its mono and 5w so cant complain does your work if you really want to buy something of quality then something else stereohigher power better sound quality in higher price segment this one does the work in case your work is only to listen via a speaker rather than a laptop or a mobile feeble voicepros build quality connectivity bass battery backup looks features call quality micspeaker both is goodcons low voice cannot be counted in cons actuall,positive
Canon EOS 3000D DSLR Camera,30999,3,decent product,this camera is best for casual photographyif you want to do professional photography then please avoid this camera,positive
Canon EOS 3000D DSLR Camera,30999,4,very good,good,positive
Canon EOS 3000D DSLR Camera,30999,5,fabulous!,very good product,positive
Canon EOS 3000D DSLR Camera,30999,1,hated it!,very bad product,negative
Canon EOS 3000D DSLR Camera,30999,5,best in the market!,nice,positive
Canon EOS 3000D DSLR Camera,30999,5,must buy!,nice,positive
Canon EOS 3000D DSLR Camera,30999,5,great product,my canon camera sabse best,positive
Canon EOS 3000D DSLR Camera,30999,4,nice product,for beginners level is good product,positive
Canon EOS 3000D DSLR Camera,30999,5,just wow!,super camera in this range however so upset with flipkart service they dont even provide a bag or a card with this camera,positive
Canon EOS 3000D DSLR Camera,30999,4,good choice,my first dslr camera photo is very good this camera has some photo taken from camera,positive
Canon EOS 3000D DSLR Camera,30999,5,perfect product!,best for new user,positive
Canon EOS 3000D DSLR Camera,30999,5,excellent,nice product price rate,positive
Canon EOS 3000D DSLR Camera,30999,2,not good,camera quality is not good it takes lots of time to get the picture out like to say go for the higher range rather purchasing and visiting your money in this bsnl,negative
Canon EOS 3000D DSLR Camera,30999,5,super!,good camera,positive
Canon EOS 3000D DSLR Camera,30999,2,expected a better product,review photosnot good as expected,positive
Canon EOS 3000D DSLR Camera,30999,4,nice product,very nice,positive
Canon EOS 3000D DSLR Camera,30999,5,classy product,very nice camera love it,positive
Canon EOS 3000D DSLR Camera,30999,1,not recommended at all,bad,negative
Canon EOS 3000D DSLR Camera,30999,5,must buy!,this product very good and high quality image shoting and captchar full hd camera and long time usge easly and onther people usge party marrige and place usage,positive
Canon EOS 3000D DSLR Camera,30999,1,absolute rubbish!,very very poor quality,negative
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,5,best in the market!,bought in the big billion days i got it for 9k awesome purchase paisa vasool,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,1,terrible product,istallation was poor smoke leaking out from chimney and exhaust pipe joint not serving the purpose,negative
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,1,did not meet expectations,installation is very very very n very bad experience,negative
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,4,good choice,product is good noise level high in third modewe installed ourselves because there is no need technical knowledge to install this chemeny thus we save installation charges,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,5,super!,awesome product best product for your kitchen,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,4,wonderful,nice product,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,1,unsatisfactory,product is quite good the rating which i am giving is regarding the service which is provided by flipkartworst of its kindthey automatically cancelled the installation by themselves and thier customer support is horrible,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,4,really nice,very nice product in this price range i am satisfied with this product till date,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,4,good choice,bought the 2019 60cm model at 9k working as described but i will not recommend hindware products they didnt come for demo and installation me and my father installed it together it wasnt easy but not hard either overall a good purchase,negative
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,4,good choice,its nice working i got it for 8250installation took 700i bought alluminium pipe of 12 feet at 825but installation boy asked for the pipe 1400purchase pipe online we can fit both chimney and pipeno need of installation,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,5,brilliant,i am from dhenkanal odisha on time delivery installation superb product with touch motion control 2 led lights are very useful,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,1,utterly disappointed,flipkart 455 hindware chimney 15after using 1 month it is giving heavy electric shock if anyone try to touch it its electric circuit is cheap dangerous for home uses i regret why i brought it,negative
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,1,terrible product,installation never happened for the product from your end tried calling 100 times to support team every single time they gave hope of resolving the issue but never happened,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,1,very poor,it produces lot of noise so plz think before buy,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,4,good choice,best,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,5,great product,worthable for money and the service is very good,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,4,very good,product is good but the installation is bad since they were asking more money and not polite,negative
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,5,excellent,very nice in this range,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,5,super!,amazing,positive
Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney,13999,5,perfect product!,installation good,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,awesome,good gesture and very silent at top fan speed and installation is well done bye mr fareed he is best for chimney installation,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,brilliant,chimney is fabulous in this rangehowever the charges for installation is high if masonary work like hole on wall is included in the charges than its ok other wise it is too much because in installation man can screw three screws and hang chimney and take extra charge for other standard fitting must include masonary work,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,great product,product looks good will update another review after one month of usage genuine care munusamy has done a great job in installation well trained and experienced technician installed on the next day thank you,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,simply awesome,go for it better option,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,brilliant,very good chimney and installation done quickly,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,super!,chimney is good fully sensor based just wave your hand it will lighten up your chimney awesome suction power is good no more cooking smell from other rooms its new just a week of use lets hope it will last a decade atleast,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,highly recommended,installation is done and it is very satisfactory,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,mind-blowing purchase,amazing product,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,just wow!,satisfied with the services from vac enterprise mr prasadthe product is good and worth every penny,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,4,good quality product,decent product,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,4,worth the money,good gesture control is a great feature,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,must buy!,nice product,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,4,worth the money,has everything needed nice product,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,excellent,good service experience,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,brilliant,excellent product worth it buying thanks to faber and flipkart for this product,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,best in the market!,nice product,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,brilliant,product looks good and fits nice with the kitchen installation was quick technician yuvaraj did a great job overall experience is good,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,5,excellent,nice mercury chimney product technician sugumar nice demo,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,1,did not meet expectations,it was good,positive
Faber Hood Mercury Pro HC SC FL BK 60 Auto Clean Wall Mounted Chimney,9990,4,very good,good iam ok,positive
Whirlpool CLASSIC CF 60 BK HOOD 60 cm 750 m??/hr Wall Mounted Chimney,5298,4,good choice,ok,positive
Whirlpool CLASSIC CF 60 BK HOOD 60 cm 750 m??/hr Wall Mounted Chimney,5298,5,brilliant,good product,positive
Whirlpool CLASSIC CF 60 BK HOOD 60 cm 750 m??/hr Wall Mounted Chimney,5298,4,value-for-money,good,positive
